m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
96, 96, 1, 96, 1, 96, 6.698485
112, 112, 1, 112, 1, 112, 6.900207
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 4.357447
32, 32, 32, 1, 1, 32, 4.866535
48, 48, 48, 1, 1, 48, 5.546239
64, 64, 64, 1, 1, 64, 6.075649
80, 80, 80, 1, 1, 80, 6.413361
96, 96, 96, 1, 1, 96, 6.702546
112, 112, 112, 1, 1, 112, 6.904954
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 1, 16, 16, 1, 4.837795
32, 32, 1, 32, 32, 1, 4.717083
48, 48, 1, 48, 48, 1, 4.577483
64, 64, 1, 64, 64, 1, 4.772039
80, 80, 1, 80, 80, 1, 6.198547
96, 96, 1, 96, 96, 1, 6.344923
112, 112, 1, 112, 112, 1, 6.486878
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 32, 16, 16, 2, 4.915200
32, 32, 64, 32, 32, 2, 4.717083
48, 48, 96, 48, 48, 2, 5.535135
64, 64, 128, 64, 64, 2, 6.075649
80, 80, 160, 80, 80, 2, 6.087990
96, 96, 192, 96, 96, 2, 6.063158
112, 112, 224, 112, 112, 2, 6.247272
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 3.746341
32, 16, 16, 1, 1, 16, 5.163025
48, 16, 16, 1, 1, 16, 5.266286
64, 16, 16, 1, 1, 16, 5.296552
80, 16, 16, 1, 1, 16, 5.342609
96, 16, 16, 1, 1, 16, 5.358140
112, 16, 16, 1, 1, 16, 5.376000
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 4.876191
16, 32, 32, 1, 1, 32, 4.585075
16, 48, 48, 1, 1, 48, 5.389474
16, 64, 64, 1, 1, 64, 5.921927
16, 80, 80, 1, 1, 80, 6.282208
16, 96, 96, 1, 1, 96, 6.559431
16, 112, 112, 1, 1, 112, 6.772913
